Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
251850,25185,Ribera d'Urgellet,04,Alt Urgell,25,Lleida,Alt Pirineu i Aran,2007,0,0,1.382781138,42.31268837,POINT (1.382781138 42.31268837)
252022,25202,Senterada,25,Pallars Jussà,25,Lleida,Alt Pirineu i Aran,2018,0,0,0.936534555,42.3246735,POINT (0.936534555 42.3246735)
080023,08002,Aguilar de Segarra,07,Bages,08,Barcelona,Comarques Centrals,2017,0,0,1.630963223,41.73892913,POINT (1.630963223 41.73892913)
082520,08252,Barberà del Vallès,40,Vallès Occidental,08,Barcelona,Metropolità,2022,0,0,2.124669407,41.51579636,POINT (2.124669407 41.51579636)
081555,08155,Palafolls,21,Maresme,08,Barcelona,Metropolità,2013,0,0,2.749412882,41.667246,POINT (2.749412882 41.667246)
172305,17230,Vila-sacra,02,Alt Empordà,17,Girona,Comarques Gironines,2021,0,0,3.018439284,42.26545523,POINT (3.018439284 42.26545523)
082114,08211,Sant Feliu de Llobregat,11,Baix Llobregat,08,Barcelona,Metropolità,2016,0,0,2.046230144,41.38195325,POINT (2.046230144 41.38195325)
171851,17185,Sant Joan les Fonts,19,Garrotxa,17,Girona,Comarques Gironines,2006,75,0,2.511051067,42.21265049,POINT (2.511051067 42.21265049)
171544,17154,Sales de Llierca,19,Garrotxa,17,Girona,Comarques Gironines,2008,0,0,2.650126842,42.23606905,POINT (2.650126842 42.23606905)
081213,08121,Mataró,21,Maresme,08,Barcelona,Metropolità,2003,0,61,2.444896864,41.5398099,POINT (2.444896864 41.5398099)
431037,43103,Perafort,36,Tarragonès,43,Tarragona,Camp de Tarragona,2013,0,0,1.255500189,41.19072089,POINT (1.255500189 41.19072089)
081799,08179,Rellinars,40,Vallès Occidental,08,Barcelona,Metropolità,2014,0,0,1.910774943,41.63743115,POINT (1.910774943 41.63743115)
082652,08265,Sant Vicenç de Torelló,24,Osona,08,Barcelona,Comarques Centrals,2021,0,0,2.274015277,42.06260072,POINT (2.274015277 42.06260072)
171805,17180,Santa Coloma de Farners,34,Selva,17,Girona,Comarques Gironines,2010,27,0,2.662775243,41.86149583,POINT (2.662775243 41.86149583)
081957,08195,Sant Agustí de Lluçanès,24,Osona,08,Barcelona,Comarques Centrals,2007,0,0,2.126789136,42.085605,POINT (2.126789136 42.085605)
